,Name,Is Potentially Hazardous,Minimum Orbit Intersection,Absolute Magnitude,Close Approach Date,Miles per Hour,Miss Distance,First Observationv Date,Last Observationv Date
18800,(2012 BV13),False,.00831621,22.2,1933-09-30,32906.4781108446,37492288,2012-01-19,2012-02-12
18801,(2012 BX13),False,.261491,20.0,1901-08-08,75456.4669376109,34565408,2012-01-19,2017-02-05
18802,(2012 BD14),False,.00789441,26.5,1927-01-12,45682.2632170054,39040600,2012-01-20,2012-01-30
18803,(2012 BB14),False,.0173198,25.0,1905-02-10,34312.3214197508,38708252,2012-01-20,2012-08-18
18804,(2012 BR23),False,.213394,21.4,1902-02-10,15728.2642110649,37937048,2012-01-20,2014-07-04
18805,(2012 BT23),True,.0488812,19.0,1901-02-08,60534.2131874854,37184596,1998-07-19,2012-09-17
18806,(2012 BX34),False,.000429592,27.6,1958-09-08,23736.7501312482,31839146,2012-01-25,2012-01-27
18807,(2012 BV26),False,.0429081,22.2,1900-12-10,21859.9896391663,44334000,2012-01-22,2018-07-21
18808,(2012 BB77),False,.127311,19.0,1903-11-10,39479.2518613447,37447088,2012-01-25,2017-05-28
18809,(2012 BG86),False,.187189,21.5,1906-01-24,69007.5664013192,19448948,2012-01-27,2015-02-19
18810,(2012 BF86),False,.0234554,22.6,1900-10-25,23663.8597374883,40512572,2012-01-27,2016-02-11
18811,(2012 BB124),True,.0212313,21.2,1903-12-19,20418.5517027723,45790196,1976-08-27,2017-12-10
18812,(2012 CQ36),False,.060465,21.7,1902-06-13,31068.0716889244,27900522,2000-09-19,2017-09-29
18813,(2012 DO8),False,.125535,22.4,1904-12-31,22333.3368280595,15209563,2012-02-21,2012-04-17
18814,(2012 DK31),True,.0252591,21.8,1901-02-02,27547.2868226385,14362580,2012-02-24,2016-02-15
18815,(2012 DT32),False,.0808731,21.3,1947-07-12,61402.4338759268,38834008,2012-02-23,2012-03-26
18816,(2012 DR32),False,.00597109,24.8,1900-11-29,54314.7132518752,36590800,2012-02-25,2017-03-02
18817,(2012 DJ61),True,.0288098,19.9,1901-09-25,89011.6718370764,45527668,2012-02-28,2018-04-11
18818,(2012 EH5),False,.109927,24.5,1910-02-14,22328.7964914767,23367086,2012-03-13,2012-03-31
18819,(2012 EO3),False,.0602167,23.0,1939-03-11,45883.6315627199,28742758,2012-03-03,2012-03-14
18820,(2012 EN5),False,.00122969,27.3,1974-03-16,20527.5255926032,259247.828125,2012-03-14,2012-03-15
